Date,Hour,Time_x,Purchase Bid (MW),Total Sell Bid (MW),Sell bid Solar (MW),Sell bid Non-Solar (MW),Sell bid Hydro (MW),MCV Total (MW),MCV Solar (MW),MCV Non-Solar (MW),MCV Hydro (MW),MCP (Rs/MWh)
2025-03-18,1,00:00 - 00:15,2408.7,440.5,0.0,413.3,27.2,433.3,0.0,406.1,27.2,5250.06
2025-03-18,1,00:15 - 00:30,1768.8,439.5,0.0,412.3,27.2,432.3,0.0,405.1,27.2,5250.07
2025-03-18,1,00:30 - 00:45,1868.6,438.5,0.0,411.3,27.2,431.3,0.0,404.1,27.2,5250.02
2025-03-18,1,00:45 - 01:00,2324.2,437.7,0.0,410.5,27.2,430.5,0.0,403.3,27.2,5098.33
2025-03-18,2,01:00 - 01:15,2113.0,436.9,0.0,409.7,27.2,429.7,0.0,402.5,27.2,5000.63
2025-03-18,2,01:15 - 01:30,2248.1,433.3,0.0,406.1,27.2,423.4,0.0,396.2,27.2,4799.99
2025-03-18,2,01:30 - 01:45,1754.8,427.7,0.0,400.5,27.2,420.5,0.0,393.3,27.2,5000.21
2025-03-18,2,01:45 - 02:00,1934.4,421.9,0.0,394.7,27.2,413.3,0.0,386.1,27.2,4501.95
2025-03-18,3,02:00 - 02:15,1859.4,420.0,0.0,392.8,27.2,412.8,0.0,385.6,27.2,5200.72
2025-03-18,3,02:15 - 02:30,1858.4,418.9,0.0,391.7,27.2,411.69,0.0,384.49,27.2,5200.71
2025-03-18,3,02:30 - 02:45,1846.6,400.8,0.0,390.8,10.0,393.59,0.0,383.59,10.0,5200.8
2025-03-18,3,02:45 - 03:00,1798.8,400.2,0.0,390.2,10.0,393.0,0.0,383.0,10.0,5200.79
2025-03-18,4,03:00 - 03:15,1735.2,404.7,0.0,394.7,10.0,397.49,0.0,387.49,10.0,5200.78
2025-03-18,4,03:15 - 03:30,1747.7,404.2,0.0,394.2,10.0,397.0,0.0,387.0,10.0,5200.82
2025-03-18,4,03:30 - 03:45,1744.2,403.9,0.0,393.9,10.0,396.7,0.0,386.7,10.0,5200.86
2025-03-18,4,03:45 - 04:00,1762.7,404.2,0.0,394.2,10.0,396.99,0.0,386.99,10.0,5200.91
2025-03-18,5,04:00 - 04:15,2265.3,414.7,0.0,394.2,20.5,407.5,0.0,387.0,20.5,5200.93
2025-03-18,5,04:15 - 04:30,2296.3,414.4,0.0,393.9,20.5,407.2,0.0,386.7,20.5,5200.9
2025-03-18,5,04:30 - 04:45,2344.0,424.9,0.0,398.9,26.0,401.7,0.0,391.7,10.0,5200.9
2025-03-18,5,04:45 - 05:00,2411.4,431.1,0.0,405.1,26.0,407.9,0.0,397.9,10.0,5200.84
2025-03-18,6,05:00 - 05:15,2413.4,449.4,0.0,407.4,42.0,442.2,0.0,400.2,42.0,5200.69
2025-03-18,6,05:15 - 05:30,2213.8,450.6,0.0,408.6,42.0,443.4,0.0,401.4,42.0,5200.71
2025-03-18,6,05:30 - 05:45,2682.9,467.6,0.0,408.4,59.2,423.4,0.0,396.2,27.2,5250.03
2025-03-18,6,05:45 - 06:00,2714.1,468.5,0.0,409.3,59.2,461.3,0.0,402.1,59.2,5200.72
2025-03-18,7,06:00 - 06:15,3016.4,517.6,0.1,423.0,94.5,464.9,0.1,415.8,49.0,5699.28
